,B.cells.naive,B.cells.memory,Plasma.cells,T.cells.CD8,T.cells.CD4.naive,T.cells.CD4.memory.resting,T.cells.CD4.memory.activated,T.cells.follicular.helper,T.cells.regulatory..Tregs.,T.cells.gamma.delta,NK.cells.resting,NK.cells.activated,Monocytes,Macrophages.M0,Macrophages.M1,Macrophages.M2,Dendritic.cells.resting,Dendritic.cells.activated,Mast.cells.resting,Mast.cells.activated,Eosinophils,Neutrophils,P.value,Correlation,RMSE
R-19_C1D1,0.052271923,0,0.009091533,0,0,0.110329291,0,0.074142729,0.019817617,0,0.034594852,1.32E-05,0.058163781,0.261638435,0.052162241,0.260596863,0,0,0.051117008,0,0.010357472,0.005703085,0,0.60723361,0.806261153
R-17_Baseline,0.004547791,0.021226204,0,0,0,0.220993882,0,0.014005416,0,0,0.039957993,0.005771584,0.069470356,0.24115228,0.023895658,0.279416312,0.009383892,0.013426753,0.056751879,0,0,0,0,0.476150783,0.879169467
R-17_C1D1,0.004038724,0.027993343,0,0.004681122,0,0.207546701,0,0.017036893,0,0,0.049086812,0,0.061215477,0.239861989,0.049121264,0.248119723,0.014019595,0,0.077278358,0,0,0,0,0.549660435,0.840153549
R-23_Week_8,0.018298596,0,0.040143073,0.000898989,0.001904337,0.061148362,0,0.020345359,0.002621485,0,0.037392938,0,0.107120575,0.227123671,0.021597421,0.347307801,0,0,0.101249164,0,0,0.01284823,0,0.532337513,0.847290984
R-16_C1D1,0.027046301,0.06063543,0.030134744,0.034868105,0.001247171,0.132870872,0.006667069,0.031261486,0.026266859,0,0.048007943,0,0.108529847,0.218177091,0.03595418,0.181251235,0,0.008053368,0.049028299,0,0,0,0,0.586650361,0.826699632
R-16_Week_8,0.013289449,0.019345028,0,0.034173252,0,0.162432596,0.003975427,0.065181078,0.027483238,0,0.026605396,0.024838685,0.062143395,0.240991321,0.035851313,0.213199426,0,0,0.070490396,0,0,0,0,0.838680571,0.671347425
R-4_Baseline,0.050726863,0,0.007969007,0,0,0.145937272,0.006409302,0.025624268,0.027602166,0,0.046716867,0,0.026458877,0.297872265,0.030292994,0.219853552,0,0,0.10296455,0.010874664,0,0.000697353,0,0.761270747,0.710662195
R-4_Week_8,0.014882207,0,0.00647035,0,0,0.225226358,0.056356445,0.077583715,0.010266348,0.004042495,0.008744222,0.060102452,0.045996669,0.137532888,0.141590063,0.142622311,0.010477261,0,0.058106216,0,0,0,0,0.754953128,0.725056205
R-18_Baseline,0.061803229,0,0.018934305,0.015323046,0,0.067934798,0,0.021770064,0.020110972,0,0.027459116,0.001494539,0.003593491,0.324205497,0.051728985,0.279323981,0,0,0.106317977,0,0,0,0,0.74564681,0.707142867
R-18_C1D1,0,0.010359146,0.02227251,0.022498903,0,0.095576638,0,0.113100299,0.006292207,0,0.062293567,0.004358638,0.033802622,0.354348156,0.052910332,0.133139029,0,0,0.089047952,0,0,0,0,0.673613177,0.763489971
R-5_Baseline,0.002488574,0,0.003764176,0,0,0.151648862,0.003653079,0.039046023,0.058966432,0,0.040201725,0,0,0.514319965,0.041173128,0.136116379,0,0,0.008621657,0,0,0,0,0.807399183,0.626323221
R-5_C1D1,0.016699716,0,0.012473868,0,0,0.209585195,0.047128358,0.099125438,0.007448512,0,0.055400055,0.009739927,0.007135878,0.23210146,0.05152437,0.113700829,0,0.106699918,0.031236475,0,0,0,0,0.498013974,0.868273179
R-15_Baseline,0.053273653,0,0,0.010815362,0,0.106291214,0,0.034198684,0.048670185,0,0.00332836,0.016266592,0.015629048,0.289213461,0.011345638,0.214941044,0,0,0.196026759,0,0,0,0,0.524332826,0.853002811
