,R-18_Baseline,R-5_Baseline,R-5_C1D1,R-12_Baseline,R-12_C1D1,R-19_C1D1,R-20_Baseline,R-20_C1D1,R-2_Baseline,R-2_C1D1,R-18_C1D1,R-2_Week_8,R-14_Baseline,R-14_C1D1,R-6_Baseline,R-6_C1D1,R-6_Week_8,R-8_Baseline,R-8_C1D1,R-17_Baseline,R-17_C1D1,R-23_Week_8,R-16_C1D1,R-16_Week_8,R-4_Week_8,R-24_Baseline,R-24_C1D1,R-9_Baseline,R-9_C1D1,R-7_C1D1,R-15_Baseline,R-13_C1D1,R-13_Week_8,R-10_Baseline,R-10_Week_8,R-10_C1D1,R-4_Baseline
Pericytes,0.437183991,-0.101149733,-0.531522096,0.163086857,-0.527680147,-0.052822743,-0.013810638,0.546007549,-0.054212816,0.115824402,-0.370089213,-0.510182873,-0.769368735,-0.238960193,-0.154622656,-0.483696637,-0.545057819,-0.206467701,-0.003096461,-0.125709203,0.596251289,0.355713523,-0.538592121,-0.079178937,-0.555098009,-0.781586505,0.156832081,0.534457031,0.569495606,0.497110314,0.641639243,-0.816612606,0.060941446,0.341146838,0.678722567,-0.111534669,0.598735453
Plasma Cells,0.279344592,-0.718248054,0.132078009,-0.62932078,-0.078714168,0.105223044,-0.730473943,-0.816563056,0.711352451,0.780736046,0.664074251,0.697694896,0.863842188,0.891862811,-0.719659269,-0.875947097,-0.93822013,0.839009403,0.601525446,-0.170544721,-0.08283397,-0.016241111,0.058275948,0.278224393,0.333647164,-0.460076216,-0.265191637,-0.756511993,-0.616528404,0.255652878,-0.274386812,0.003407308,-0.250830611,-0.819197236,-0.288064172,-0.143528469,-0.665619294
Pre-Exhausted CD8+ T cells,-0.739859634,0.290880712,0.743328699,-0.732357494,-0.574902403,-0.611431413,-0.113716542,-0.741919288,0.767367807,0.74336771,-0.563697803,0.697475442,0.53851271,0.57699134,-0.362052921,-0.171982357,-0.053668873,0.187917657,0.097995671,-0.40762726,-0.187469166,-0.695345886,-0.586875778,0.237577388,0.697268691,-0.322927352,0.268386601,-0.047136386,0.140292251,-0.475148148,-0.820250204,0.399256425,-0.370676243,-0.342296076,0.723787067,0.534274678,-0.619268215
Proliferating CD8+ T cells,0.622282319,0.286013281,0.322469133,-0.544995748,-0.184688289,0.53972669,-0.653313987,-0.649790515,0.577639644,0.557003866,0.647851985,0.24168236,0.133782669,0.340274152,0.72186351,0.741458165,0.520908543,0.425402125,0.477132096,0.236327838,-0.341585786,0.796544604,0.569988298,-0.942875078,-0.529474585,0.163160024,-0.648352052,-0.965698144,-0.812662541,-0.959241324,-0.800914716,-0.417335369,-0.808492512,0.305983032,-0.521608244,0.712226568,-0.845818682
Resting CD4+ T cells,-0.407850247,-0.717090125,-0.564807104,-0.691704157,-0.639997304,-0.567153554,-0.474175923,0.510311369,0.123441844,0.077900604,-0.7368235,0.724457994,0.523017578,0.768540687,-0.071677587,-0.511597571,-0.063298428,-0.094458561,-0.550701747,0.226723385,0.225735103,-0.374515636,0.286780306,0.735987804,0.499353767,0.2523996,0.538068335,0.178660172,-0.312512248,0.494384699,-0.167985208,0.204376346,-0.471597456,-0.134314229,0.781902968,-0.429822316,-0.179490953
Resting Memory CD4+ T cells,-0.557612984,-0.471502943,-0.277637483,-0.304181722,-0.587618018,-0.443847395,-0.156816166,-0.460413925,0.791276999,0.727237702,-0.828237088,0.898269369,0.811020445,0.491612792,-0.555842782,-0.699109518,-0.120392421,-0.463389748,-0.67734267,0.364221932,0.423810989,-0.406064256,-0.035912841,0.799766858,0.663737446,-0.29031682,0.74607025,-0.026901004,-0.590342539,0.834379484,-0.701936872,-0.337749931,-0.816638534,-0.747982425,0.878497131,0.199234137,-0.698425305
SPP1 Macrophages,-0.554782054,-0.267772618,-0.261961923,-0.152787615,-0.346158213,-0.446781664,-0.57593026,-0.536880538,0.363789036,0.493073423,-0.636433713,0.139671291,0.08296979,0.466215799,-0.41701596,-0.398555488,0.40882598,-0.152920795,-0.425307366,0.146707548,0.448704645,-0.598188588,0.147119511,0.766516795,0.656254586,-0.029404729,0.51659649,-0.000403642,0.171147401,0.803377333,-0.658057275,0.547137141,-0.78406966,-0.839256201,0.84769855,0.401522895,-0.004055893
T cells,-0.793140551,-0.224980957,0.598386012,-0.801479489,-0.669397719,-0.74449675,-0.738169683,-0.643577673,0.847298812,0.888007173,-0.757767317,0.973279534,0.870522304,0.808204438,-0.568572069,-0.556691325,0.357498319,-0.105850706,-0.114906972,-0.221744004,0.0978256,-0.929477696,0.244444539,0.847029814,0.833848913,-0.228971609,0.277561085,0.157498319,-0.06133154,0.514189734,-0.785832773,-0.063887021,-0.799193006,-0.802824479,0.889979825,0.521393474,-0.443392097
T follicular helper cells,-0.634600163,-0.245366728,0.433205076,-0.692088717,-0.735192474,-0.654269268,-0.648493816,-0.636954861,0.769237668,0.753163168,-0.691550917,0.933183857,0.831672822,0.775783048,-0.448052864,-0.550914613,0.333994746,0.448908837,0.272136943,-0.4623366,-0.296707275,-0.725584628,0.224564202,0.72672209,0.840588069,-0.469044385,0.108026906,-0.638660374,-0.589899209,0.272028234,-0.646959043,-0.472301684,-0.562684489,-0.55881407,0.859775785,0.530122572,-0.628478179
Terminally Exhausted CD8+ T cells,-0.677231919,-0.215339669,0.626994533,-0.771145394,-0.712121409,-0.64974811,-0.678572565,-0.879809848,0.874019945,0.87994439,-0.656415416,0.878509283,0.750711853,0.662278254,-0.234539539,-0.297376374,0.461435048,0.384339076,-0.010228239,-0.267541351,-0.355064224,-0.788328332,0.133420038,0.753083277,0.886850839,-0.358461004,-0.003814467,-0.192423075,-0.025807799,-0.204731721,-0.782369467,-0.301792916,-0.619689341,-0.688097671,0.84823751,0.456140556,-0.690395596
Th1,-0.842105263,-0.317717206,0.063884157,-0.807944051,-0.721061598,-0.786738994,-0.701111808,-0.040347888,0.761364655,0.658432709,-0.711467767,0.976687887,0.907692997,0.791311755,-0.645835201,-0.777189994,-0.457724379,0.310589079,-0.013449296,0.307540572,0.647762934,-0.875728504,0.426028871,0.924728773,0.883394602,-0.006724568,0.504707254,-0.090244777,-0.62216532,0.847260827,-0.865686362,0.511064951,-0.583833946,-0.870259123,0.634806778,0.113108581,-0.036447593
Tissue-Resident Memory CD8+ T cells,-0.6521703,-0.236578667,0.590799031,-0.882297552,-0.582154513,-0.73984396,-0.856297915,-0.698543186,0.868576809,0.879696888,-0.5986907,0.881535288,0.834454309,0.798493409,-0.524991173,-0.57536932,0.416375213,0.19220253,0.182108934,-0.245397742,-0.10057103,-0.923504618,0.007801991,0.903685768,0.838443196,-0.358231838,0.050528978,0.414721263,0.448425133,0.030815916,-0.718097032,-0.030938929,-0.548035347,-0.709725332,0.908304188,0.199982973,-0.860726024
Treg,-0.552332214,-0.424089381,0.180443686,-0.629246337,-0.771789789,-0.420406139,-0.253756036,-0.420440133,0.838922786,0.820715303,-0.745811114,0.875728765,0.811014441,0.659361652,-0.439314321,-0.548494576,-0.192227699,0.569790728,0.250045399,-0.728456129,-0.618000005,-0.730163978,-0.096692121,0.656830209,0.746591197,-0.575524596,-0.356105967,-0.090999215,-0.192472513,0.587391355,-0.358227848,-0.697775662,-0.709968394,-0.02629398,0.631909689,0.652121266,-0.542740766
Tumor Associated Neutrophil (TAN),-0.372890018,-0.374697285,0.198258589,-0.394707477,-0.57263474,-0.442037644,-0.511762658,-0.629516316,0.516075932,0.569996407,-0.493564894,0.538109643,0.284563158,0.502802565,-0.321185519,-0.371743058,0.506886192,0.423522341,-0.265519115,0.064108934,0.204856903,-0.453187843,0.063741365,0.824532545,0.610220209,0.239048766,0.605120208,-0.300345276,-0.684696622,0.440563551,-0.635485336,0.307181736,-0.647959077,-0.508724447,0.744145668,0.033736873,0.191761322
Vascular Endothelial cells,0.427426208,-0.463092152,-0.469936089,0.025353918,-0.594031738,-0.579498487,0.129394299,0.508152847,0.072434231,-0.574259082,-0.388539183,-0.171003589,-0.64511251,0.045999309,0.248153916,-0.205307102,-0.655778282,0.515106786,0.329267851,-0.448992091,0.437555668,0.516913459,-0.443067671,0.127219646,-0.205100088,-0.712531326,-0.098477993,0.110469203,0.699446754,0.493738496,0.406150145,-0.599290404,-0.422778283,0.382350067,0.548556482,0.2725601,0.630421251
