,R-18_Baseline,R-5_Baseline,R-5_C1D1,R-12_Baseline,R-12_C1D1,R-19_C1D1,R-20_Baseline,R-20_C1D1,R-2_Baseline,R-2_C1D1,R-18_C1D1,R-2_Week_8,R-14_Baseline,R-14_C1D1,R-6_Baseline,R-6_C1D1,R-6_Week_8,R-8_Baseline,R-8_C1D1,R-17_Baseline,R-17_C1D1,R-23_Week_8,R-16_C1D1,R-16_Week_8,R-4_Week_8,R-24_Baseline,R-24_C1D1,R-9_Baseline,R-9_C1D1,R-7_C1D1,R-15_Baseline,R-13_C1D1,R-13_Week_8,R-10_Baseline,R-10_Week_8,R-10_C1D1,R-4_Baseline
Effector/memory CD4+ T cells,-0.678858964,0.013963472,0.490503762,-0.656276682,-0.441069169,-0.4752374,-0.303152067,-0.060807175,0.781456108,0.673982426,-0.659183358,0.717842956,0.563613046,0.537898496,-0.517676561,-0.515065515,-0.114016123,0.51599068,0.388434838,-0.035357149,-0.222939647,-0.466554003,0.017643797,0.585019025,0.526147812,-0.479217003,-0.194642175,-0.353277019,-0.386601508,0.381021418,-0.210665585,-0.427241634,-0.461601979,-0.47969314,0.264135026,-0.04425956,-0.323153884
Effector/Memory CD8+ T cells,-0.751345291,-0.464167135,0.233218304,-0.72687247,-0.684735247,-0.680237421,-0.646652839,-0.725715583,0.709578395,0.80859715,-0.728435227,0.662281748,0.729657818,0.698875437,-0.315347965,-0.453733638,0.392822176,0.062410752,-0.341031214,-0.028206278,0.075680844,-0.513366743,-0.480863104,0.704772621,0.821179212,-0.557804725,0.204461327,0.07091285,0.044439462,0.468428492,-0.485147899,-0.389857889,-0.232997267,-0.49605632,0.767020224,0.521268394,-0.472330991
eMDSC,0.090420048,-0.234231407,-0.402071099,-0.681534944,-0.759268391,-0.649885686,0.140987134,0.384587798,0.32792397,0.359304254,-0.899134801,0.809656162,-0.208589232,0.095889183,-0.305957771,-0.176491684,0.473707805,-0.741605774,-0.815932219,-0.167346573,0.419285426,-0.369704577,0.24902497,0.952032994,0.865602726,0.391401802,0.683597077,0.577890348,-0.564441655,0.898417537,-0.784820908,0.148070113,-0.871251177,-0.943515488,0.928004662,0.325413547,0.481149415
Eosinophils,-0.552758222,-0.460872563,0.250770686,-0.45217025,-0.455559039,-0.336881487,-0.212884369,-0.265633511,0.608232353,0.60571211,-0.550394316,0.603180079,0.567899552,0.590551287,-0.296413401,-0.343523695,-0.199042576,0.364526223,-0.070787206,-0.113153533,0.070946254,-0.380466666,0.052924655,0.684060719,0.58976148,-0.203172092,0.308067978,-0.059293831,-0.139532349,0.495980824,-0.53540609,-0.230048268,-0.481718042,-0.575503293,0.607436733,-0.082227966,0.070124727
Exhausted CD8+ T cells,-0.562182936,-0.011211265,0.510316583,-0.733438577,-0.815459751,-0.464100591,-0.631135292,-0.66658367,0.856316427,0.85156285,-0.73454363,0.838782008,0.792005493,0.696191873,-0.438517147,-0.578387989,0.421716934,0.45570258,0.080477422,-0.489483833,-0.357081168,-0.759889894,0.168111869,0.750486001,0.786211096,-0.677474326,-0.333647249,-0.32313505,-0.377270072,0.02977251,-0.721339176,-0.565644835,-0.673930736,-0.448482885,0.835164536,0.491053191,-0.591070433
Exhausted NK cells,-0.674605352,-0.45700996,0.340110546,-0.770639714,-0.651912642,-0.640618671,-0.749781165,-0.598666015,0.772107512,0.766409121,-0.797973003,0.814737928,0.799391843,0.70060463,-0.568605488,-0.59851915,0.356261614,-0.005697053,-0.547709603,0.168604377,0.175387927,-0.692267504,0.068464006,0.902282614,0.790999173,-0.139730705,0.417853032,0.328779053,0.26314651,0.625386247,-0.776663069,0.015381856,-0.730481187,-0.762993856,0.804470847,0.27138952,-0.44201866
G-MDSC,-0.336839774,-0.464904338,-0.136231796,-0.589476793,-0.589364027,-0.433343529,-0.115336323,-0.59731765,0.492658928,0.603280519,-0.479118833,0.499024625,0.124922987,0.529479881,-0.397539058,-0.131210762,-0.01426009,0.397400628,0.158414452,-0.234766968,-0.102466368,0.065222514,0.217923479,0.696895068,0.55169018,-0.206111055,0.441826656,-0.155616499,-0.30476807,0.678314617,0.174491473,-0.369401789,-0.676902926,-0.739537096,0.80622688,-0.479441784,-0.076594127
ɣδ T cells,-0.68776901,-0.376243349,0.586097253,-0.744082534,-0.789477947,-0.62221696,-0.768965208,-0.823215567,0.879259326,0.930595409,-0.823753587,0.632331959,0.571878122,0.790199683,-0.148223678,-0.372650112,0.644100776,0.050429112,-0.057926829,-0.098368006,-0.068911406,-0.782140098,0.205248483,0.817207676,0.917010402,-0.128183286,0.358545552,0.235160702,0.053981349,0.500675151,-0.787571736,0.102447991,-0.768561693,-0.8125,0.822767217,0.041024032,-0.364355152
Lipid-Associated Macrophages,-0.5704377,0.327392589,0.349671531,-0.38307779,-0.686985509,-0.468514425,-0.492620759,-0.686631523,0.357062297,0.274647449,-0.591218952,-0.045472389,0.050873503,0.403584296,-0.254715177,-0.324032473,0.102207377,-0.072119628,-0.199175102,-0.349275289,0.295152814,-0.440802901,0.238848958,0.765967754,0.557145949,0.037646079,0.282104609,0.036814493,-0.188788666,0.794852249,-0.715278791,-0.197187893,-0.839835228,-0.696605533,0.757929329,0.542643596,0.067121415
Lymphatic Endothelial cells,-0.203343509,-0.442860799,-0.492685981,0.095548035,-0.117278692,-0.458779797,-0.409769634,0.505635953,-0.065051989,-0.446666389,-0.484642033,0.331503943,0.334008099,0.473068553,-0.298129883,-0.477456998,-0.482344092,-0.119424503,-0.200631813,0.265838119,0.370912015,0.101195552,0.356026205,0.495420156,-0.206759792,-0.457854555,-0.011178363,0.216857544,0.444521638,0.305426193,-0.425641073,-0.024689338,-0.156942269,0.118193242,0.327895258,-0.186412408,0.216221355
M-MDSC,-0.726645988,-0.552009578,-0.359279126,-0.654163802,-0.568256615,-0.569520432,-0.056189148,-0.641995273,0.547768921,0.634395104,-0.745976238,0.379935885,-0.050344128,0.520606981,-0.566556407,-0.312362674,0.013108373,0.453354181,0.161092648,-0.075797559,0.194922005,0.214650694,0.33284469,0.696185712,0.634275379,-0.178926622,0.460117652,0.038668659,-0.259883636,0.788934432,-0.008344911,-0.081083411,-0.782500741,-0.847466563,0.793762107,-0.368333591,0.07319016
Macrophage,-0.726286167,-0.067086554,0.048781956,-0.213062961,0.164386873,-0.451914967,-0.836314728,-0.918090861,0.023737408,0.061824703,-0.670746469,0.50236688,0.255929826,0.413046402,-0.106881865,-0.42045356,-0.58603264,0.093608847,-0.16470789,0.754763506,0.817933199,-0.722201075,0.425290151,0.761820012,0.405854966,0.791481731,0.680206232,-0.404974206,-0.494463125,0.554885691,-0.638466711,0.822954495,-0.764806097,-0.826854965,0.654382425,0.096615109,-0.460631928
Mast Cells,0.036319533,-0.531277866,-0.493292917,-0.519440217,-0.698426221,-0.291143111,0.851185939,0.817333991,0.54961216,0.365062996,-0.020580191,-0.039322064,-0.551540152,-0.247193427,-0.860556876,-0.856252522,-0.971528494,-0.57214438,0.060350625,0.067155178,0.469414031,-0.093311369,-0.10178003,0.511005786,-0.175940456,0.617943774,0.779895081,0.539344483,0.337129534,0.695118904,0.444952005,-0.584181351,-0.61590023,-0.149680632,0.753413134,-0.083842038,0.375295612
