pathway,pval,padj,log2err,ES,NES,size,leadingEdge
HALLMARK_MYC_TARGETS_V1,0.756484149855908,0.819394908375354,0.0434506826723125,0.371913755471138,0.748364981889715,193,PSMA2|PSMA7|MRPS18B|ETF1|EIF4H|PSMD3|PSMB2|PHB|RPS3|RPL18|UBE2E1|RPS2|PSMC4|PRPS2|NHP2|GLO1|PSMB3|SLC25A3|RAD23B|RPLP0|IMPDH2|PHB2|EIF2S2|RPS5|VDAC1|AIMP2|RUVBL2|RPS6|ILF2|PSMD7|TUFM|CCT4|COX5A|POLD2|PPIA|HSP90AB1|MRPL23|CCT3|YWHAE|CDK2|PCBP1|PRDX3|TFDP1|RNPS1|CCT2|XPOT|NME1|KPNB1|SNRPA|RRP9|CCT7|EXOSC7|CDK4|RPL34|FBL|TRIM28|RPL14|XRCC6|PSMD1|GSPT1|PSMA6|CANX|RPL6|CNBP|FAM120A|HNRNPC|ERH|PCNA|GOT2|HNRNPA1|HDAC2|G3BP1|MCM4|HNRNPU|SNRPD2|EIF3D|SNRPB2|AP3S1|LSM2|TXNL4A|U2AF1|HPRT1|BUB3|CCT5|TRA2B|NPM1|HDGF|SF3B3|RAN|PSMC6|NDUFAB1|PSMA4|MCM2|PSMD8|NOP16|EEF1B2
HALLMARK_MYC_TARGETS_V2,0.518438177874187,0.724738675958188,0.0815265143256594,-0.350448213094592,-0.860637295843583,58,PRMT3|PUS1|WDR74|NIP7|DDX18|NOP2|SLC19A1|RCL1|UTP20|MRTO4|WDR43|SUPV3L1|NDUFAF4|MYC|RABEPK
HALLMARK_MYOGENESIS,0.0624092888243832,0.427504816955684,0.216542836735348,0.722072479543059,1.44276608360819,197,ACTC1|PFKM|ADCY9|MYO1C|LPIN1|OCEL1|MYL6B|MAPRE3|FLII|HDAC5|AKT2|GAA|CRAT
HALLMARK_NOTCH_SIGNALING,0.654440154440155,0.779095421952565,0.0637845390312975,0.356620625596074,0.691925949341685,32,FBXW11|FZD5|ARRB1|DTX2|SKP1|DTX1|CCND1
HALLMARK_OXIDATIVE_PHOSPHORYLATION,0.206695778748181,0.609318996415771,0.112378519110475,0.647059897499065,1.29586643335187,184,IDH2|ECH1|ECI1|ALAS1|SLC25A12|IDH1|ATP6V1G1|SLC25A11|NDUFS7|ECHS1|NDUFA2|SDHB|HSD17B10|CASP7|NDUFB7|ATP6V0E1|MDH2|SUCLG1|HCCS|ACAA2|RETSAT|COX7C|NDUFB8|ETFB|IMMT|UQCRC1|SLC25A3|GRPEL1|MDH1|MRPS15|MFN2|UQCRH|POR|NDUFA4|PHB2|COX7A2|UQCR11|ACADVL|HSPA9|OGDH|VDAC1|SLC25A5|NDUFA7|MRPL34|CYB5R3|SDHC|MRPS11|OAT|COX6C|RHOT1|COX15|NDUFS2|CYB5A|COX5A|UQCRQ|ALDH6A1|NDUFB4|NDUFA3|TCIRG1|CS|FDX1|OXA1L|COX10|TIMM13|MRPS30|PRDX3|ETFA|NDUFS8|HADHA|ACO2
HALLMARK_P53_PATHWAY,0.534782608695652,0.724738675958188,0.0597317976364411,0.479874413099242,0.962243623124143,192,DCXR|MAPKAPK3|ACVR1B|HEXIM1|TXNIP|VAMP8|FDXR|ADA|CYFIP2|SLC3A2|BAK1|RPL18|HDAC3|RETSAT|KIF13B|CD81|RPS12|SP1|CEBPA|MKNK2|TRIB3|CSRNP2|JUN|FUCA1|DNTTIP2|APP|SLC7A11|EPHX1|RPL36|CTSF|IRAK1|FAM162A|DEF6|AK1|DGKA|TPD52L1|TAP1|OSGIN1|CDKN1A|GM2A|DRAM1|BTG1|CD82|RHBDF2|HSPA4L|NUPR1|CCND2|PLXNB2|FOXO3|HINT1|ABAT|ANKRA2|TRAFD1|PROCR|ITGB4
HALLMARK_PANCREAS_BETA_CELLS,0.552325581395349,0.724738675958188,0.0723570851036907,0.402195067771981,0.773490409793183,33,STXBP1|SPCS1|FOXA2|SRP14|LMO2|PAK3|ABCC8|PCSK1
HALLMARK_PEROXISOME,0.186161449752883,0.609318996415771,0.128142916898415,0.700299583684381,1.33522383440746,103,IDH2|EPHX2|ECH1|IDH1|HMGCL|DLG4|ERCC1|PEX11A|ACOT8|SCP2|CRAT|PEX14|FADS1|PRDX5|LONP2|DHCR24|SOD1|RETSAT|ALDH9A1|IDE|SULT2B1
HALLMARK_PI3K_AKT_MTOR_SIGNALING,0.467874794069193,0.709792587555254,0.0725351864394589,0.553791094827388,1.05544890440332,102,TIAM1|PIN1|RIPK1|SQSTM1|CAB39L|ARHGDIA|RPTOR|MKNK2|TRIB3|GRB2|GNA14|MYD88|YWHAB|CDKN1A|CLTC|TBK1|RAC1|ARF1|CDK2|NFKBIB|PRKAA2|CSNK2B|PLCB1|PLCG1
HALLMARK_PROTEIN_SECRETION,0.420435510887772,0.703774792066539,0.0789209638180035,0.583582592236088,1.10778417520595,94,SCRN1|NAPA|AP2B1|ARFGEF2|OCRL|GNAS|KIF1B|TOM1L1|CLN5|IGF2R|KRT18|SOD1|AP2S1|DST|ATP7A|GBF1|ERGIC3|ATP1A1|CLCN3|STX12
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,0.463955637707948,0.709792587555254,0.0789209638180035,0.532775121295833,1.02302512407589,47,ATOX1|SRXN1|ERCC2|JUNB|SOD1|CDKN2D|MGST1|SCAF4|HMOX2|NDUFS2|G6PD|NDUFB4|GLRX|TXNRD1|SBNO2|PRDX1|PRNP|PRDX2|NQO1|MBP|IPCEF1|GSR|GPX3|PDLIM1
HALLMARK_SPERMATOGENESIS,0.333333333333333,0.641025641025641,0.0886261133285098,0.610202365726758,1.18269642748597,121,PCSK1N|LPIN1
HALLMARK_TGF_BETA_SIGNALING,0.686956521739131,0.786417474234733,0.0672065093710464,-0.311801270673641,-0.760127626046318,54,SLC20A1|MAP3K7|SMURF2|SMAD6|TGFBR1|CTNNB1|APC|CDKN1C|BMPR1A|SMAD7
HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.803468208092486,0.836946050096339,0.0408229003677776,0.351647034469881,0.704901205909724,198,CEBPB|B4GALT5|FOSL2|LITAF|BCL6|TUBB2A|SQSTM1|JUNB|GADD45B|CSF1|CEBPD|MAFF|NFIL3|JUN|TNIP1|CCND1|KLF10|SNN|MARCKS|CFLAR|TIPARP|PTGER4|IFIH1|MCL1|IRS2|DUSP4|TAP1|CDKN1A|DDX58|IRF1|DRAM1|TRIP10|BTG1|NAMPT|F2RL1
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,0.333333333333333,0.641025641025641,0.0908241419007155,0.622898768716123,1.18730521657996,106,CEBPB|EEF2|SHC1|EXOSC1|RPS14|PREB|BAG3|EIF4EBP1|KIF5B|KHSRP|TUBB2A|DCP1A|SPCS1|ZBTB17|ATF6|ASNS|NHP2|LSM4|ATF4|WIPI1|HSPA9|IFIT1|ATP6V0D1|DCTN1|XBP1|SLC1A4
HALLMARK_UV_RESPONSE_DN,0.213114754098361,0.609318996415771,0.157402899305283,-0.480837810263062,-1.24158312010073,138,ATP2B1|RASA2|DLG1|SCAF8|BCKDHB|KCNMA1|SIPA1L1|VAV2|WDR37|MMP16|SYNE1|MTA1|INPP4B|GCNT1|BMPR1A|PTPN21|SMAD7|PLCB4|ATP2C1|SNAI2|PRKCA|SDC2|PMP22|ABCC1|MYC|ATRX|KIT|MAPK14|CDC42BPA|CDK13
HALLMARK_UV_RESPONSE_UP,0.389570552147239,0.703774792066539,0.0782955249944794,0.56634604704517,1.10503040529773,154,CLTB|ALAS1|CDC34|DLG4|TUBA4A|BAK1|SULT1A1|PRKACA|SQSTM1|JUNB|AP2S1|MAOA|UROD|ASNS|CNP|STARD3|NPTXR|CHKA|CYB5B|GRPEL1|TYRO3|EPHX1|WIZ|DNAJB1|PSMC3|DGAT1|TAP1|IRF1|BTG1|HLA-F|KLHDC3|MRPL23|MARK2|HSPA2|CDK2|BTG3|PPP1R2|TST|BSG|MAPK8IP2|MGAT1|CHRNA5
HALLMARK_WNT_BETA_CATENIN_SIGNALING,0.422264875239923,0.703774792066539,0.0860347242455604,0.559505109564315,1.07709198998471,41,HDAC11|HDAC5|DVL2
HALLMARK_XENOBIOTIC_METABOLISM,0.0505050505050505,0.427504816955684,0.241339976815091,0.740646133090784,1.48479939866845,195,GSTA3|CBR1|BLVRB|DCXR|ECH1|ALAS1|IDH1|NDRG2
