"","R-2_C1D1","R-2_Week_8","R-6_C1D1","R-6_Week_8","R-16_C1D1","R-16_Week_8","R-13_C1D1","R-13_Week_8","R-10_Week_8","R-10_C1D1"
"SLC6A11",0.649086499228901,-0.897865306639788,1.20131238809421,0.716144673216594,0.290353540304629,-0.949246803822826,-0.460937434317298,-1.20641259922416,-0.885104770765752,1.54266981392549
"BEST3",0.160500571530751,-0.539653992566541,2.29124735104964,0.299060302812851,-0.0614732819910015,-0.93329623886015,-0.651904002184708,-0.93329623886015,-0.558864617499442,0.927680146568748
"CHRND",0.286506831375436,-0.670819758021906,2.57818624167816,0.483248166058265,-0.483721379906641,-0.479769038734674,-0.463475273647735,-0.670819758021906,-0.670819758021906,0.0914837272429057
"GPR37",1.29212989690704,-0.439456781905532,1.03413338138864,0.800822846607968,0.510848321830667,-1.08843945788794,0.856791237947444,-1.14438958750059,-1.28303994731783,-0.53939991006987
"SPTBN2",0.642078322256407,-0.722576825969801,0.914493707866151,0.813184847196827,0.919073481151584,-0.927933048804739,0.774048884460127,-1.09512072934819,-1.70654629617512,0.389297657366753
"TRDN",-0.361665061017097,-0.667589711846208,2.52446492094637,0.677405946630998,0.345885653252361,-0.290001860366949,-0.225730752060857,-0.667589711846208,-0.667589711846208,-0.667589711846208
"ASB4",0.721704231386332,-0.771978292217962,-0.509782026498925,-0.971218610628985,2.09694966359211,0.161792623188854,0.903949190230686,-0.736459200782374,-0.9458278854647,0.0508703071949587
"CA1",-0.902702224410646,-0.139946131904565,-1.15598764649606,0.221873484445835,-0.988104885509002,1.53976794348788,0.0308053036400831,0.549569438200005,1.5998631975957,-0.755138479049229
"ASCL1",-0.474200628012525,-0.587196514951503,-0.646824508385025,-0.78136187891121,0.693554184352247,-0.578769235139333,2.30219224082823,-0.00392008295749611,-0.762487006981653,0.839013430158275
"PPP1R27",-0.487426763171643,-0.791751015284159,2.56458479609763,0.577571790314984,-0.158273333734353,-0.415921645045675,0.280357763701727,-0.486628089919384,-0.791751015284159,-0.290762487674964
"CXADR",0.391856373502449,-1.26965937734141,1.01003119603798,1.04976178409192,0.731191001866691,-0.61693192053357,0.829061715822078,-0.541853640627663,-1.78228109145285,0.198823958634369
"RTP5",-0.149599020886794,1.52559905375122,-0.875241731670664,-0.116468277922943,-0.659672218299524,0.0597451610485904,-0.519511806930409,-0.573746779825521,2.06443646879168,-0.755540848055637
"DTHD1",-0.166566248346419,1.45647462752553,-1.1157693619452,0.133466683940923,-0.724248661259565,1.03785903313407,-0.62510276064295,-0.875811931356882,1.54478378557596,-0.665085166625459
"MMP3",0.92804824269085,-0.241108916823509,1.40981210275699,-0.349330745458868,-0.198650830717207,-0.927378989365507,-1.2022341898363,-0.944813531474026,-0.123073030193694,1.64872988842128
"DGCR5",-0.162621671056579,-0.894386482096502,1.52462169305466,1.0624102537774,-0.35335054034786,-1.00170973147713,1.43370525231348,-0.89169705878272,-0.850676142286456,0.133704426901718
"CXCL13",0.477672308836235,1.22167274872305,-1.45586699677722,-0.381221806476213,-0.298851810377797,0.19248370068974,-1.62182617131665,0.578992867669732,1.38321473419037,-0.0962695751612469
"CBS",-0.172203655990136,-0.938733281259341,-0.0845876387013785,-0.222336026700323,0.994757273602212,-0.984676548031282,1.97546596613471,0.0416239230311497,-1.30054147868,0.691231466594383
"SLC25A10",0.0511528573348638,-1.14315181739791,0.654712419690849,0.552876192897416,1.64983086968816,-1.06722374302728,0.992158853408669,-0.741103703625325,-1.22001343147371,0.270761502504267
"COLEC10",-0.138532327923848,-0.556643663560806,-0.369374228974405,-0.583946468391029,-0.408051491447606,-0.629914490027362,2.47416071910599,1.02358097129451,-0.662496911693954,-0.148782108381495
"GPT",0.0495807973555492,-0.893059573336938,0.702531596916014,0.582552272042691,-0.446806330106812,-0.918577604111825,2.23032560426952,-0.22723323432732,-1.13765415013763,0.0583406214367522
"CTSV",1.15384167300351,-1.09628852854348,1.10300265507111,0.627525791601991,0.650549986911549,-1.30107172259467,-0.472443192107394,-0.888951060957565,-0.810554207111077,1.03438860472602
"DHCR7",0.514262886335537,-0.903239645947901,1.03150883011849,0.900579608608668,0.786950384127515,-1.07064566492832,0.927892750870989,-0.820405081806023,-1.63497761418711,0.268073546808158
"IQGAP3",0.98071967120611,-0.702607868686111,1.21827776019876,0.965368362776492,0.20691056265491,-1.39910627118526,-0.260652972459994,-0.54154923456352,-1.38642797364429,0.919067963702897
"TMEM139",1.62807644724516,-0.854075587406137,1.01783801556525,0.249739305163477,-0.213828561869543,-0.252207079131321,0.971874683627612,-0.86751857272024,-1.64743565614016,-0.0324629943340962
"PLEK2",0.180642849745106,-1.27116599027554,0.706245349507902,0.432704798009571,0.0416757489618936,-0.795584411669983,1.8764298077661,-0.346910143044103,-1.42442777445898,0.600389765458035
"CXCR5",0.691574909336705,2.38962477071254,-0.906049701917318,-0.700724126416496,-0.160282224661333,0.322705325599831,-0.794448083112844,-0.652247229644716,0.288977023184293,-0.479130663080665
"SIX2",0.347767752556864,-0.837780657672315,-0.239870542607473,-0.76709936629079,1.906981284705,-0.724557970819131,-0.0173146316309786,-0.814862796590912,-0.438519871188158,1.5852567995379
"GRB14",-0.369002442176785,-1.03961748612027,0.837131945869025,0.746208861366228,0.627136254015619,-0.485323622719258,1.98699578302653,-0.593548117586253,-1.11393730102178,-0.596043874653052
"CPB1",-0.781185638344602,-0.794821815646361,-1.00750703669679,-0.51253011847742,0.0785452477743177,0.74155480569853,0.521875276011879,2.20783589642588,0.353776498303609,-0.807543115049039
"CLDN1",1.03214180696737,-0.741566765257824,0.561809850037114,-0.00699083079473721,-0.00816416323887245,-0.577684934161231,2.09595886623277,-0.22502256461461,-1.17046033795748,-0.960020927212502
"LINC00473",2.4757621902406,0.756515371255694,0.0172471004187396,-0.34522325694954,-0.626909716343058,-0.759668288432628,-0.530686410623061,-0.638752371459845,-0.652898021213224,0.304613403106318
"SERINC2",0.658476040947434,-1.33104926658663,0.870658557881353,0.977849775889742,0.441369647637249,-0.759075225860217,0.776502475144801,-0.30301019637733,-1.83375762913041,0.502035820454016
"HBA1",-1.15609343674034,1.07970664007071,-0.848462213618477,-0.0015415573632201,-0.492452794019965,1.85166711138708,0.192617092469182,-0.75752296582565,0.928289562859267,-0.796207439218582
"ATP6V0D2",-0.673732905165617,-0.255624267605841,-1.057106165702,-0.751436334749911,-0.239330130866837,0.866883922394733,-0.811280816444678,2.14188479137735,0.858911359885755,-0.0791694531229522
"FAM64A",0.0653711715520175,-0.926005713546088,1.3875746885498,0.97998758569308,0.887277499742442,-1.27020965853116,0.0188398179960554,-0.876516624891011,-1.14501602595815,0.878697259393016
"ADAM33",-0.68436023991274,0.662102673618413,-1.28650224603973,-0.460989744819573,-0.193789515521274,0.449076563243542,-1.23364198121191,0.643270944055243,2.0104395358221,0.0943940107659191
"RNF128",-0.509238470802185,-1.07184481605587,-0.013347821442249,-0.451456690152642,0.215952303256894,0.205201336101814,2.49479670599693,0.388339637673252,-0.886576566638533,-0.371825617937413
"NUP62CL",1.38232589164264,0.338890394611688,-1.10065873980134,-1.30497220470373,1.43713842625161,-0.421766629320776,0.604136201740303,-0.937050784629287,-0.534570401853798,0.536527846062678
"SIRPD",-0.547315759927814,1.34182966912425,-1.14004298126873,-0.083645908902286,-0.73550214110508,1.19937017177853,-0.613822129904335,-0.560724164951797,1.63598709124004,-0.49613384608278
"TNNI2",0.373818250805161,-0.703272377697107,1.47198912523165,-0.25471683151363,1.55496929821081,-0.362721446658653,-1.16401287287877,-1.20813989077062,-0.457012829368843,0.749099574639998
"GCAT",-0.0918172941547757,-1.41523099392891,0.16689886739899,0.184148624275913,0.941166770141794,-0.909123129680275,1.37577913720047,-0.24259622965879,-1.28190716337732,1.2726814117829
"WDR62",1.68019614600348,-0.039847294179851,0.154824577451126,-0.28666927642739,1.19693834061221,-1.27090612986733,-0.41296588568672,-0.935178112183848,-1.03629956454704,0.949907198825367
"RIPK4",0.112899959564709,-1.32080375281756,1.15324376514057,1.1421956088997,0.870009025679766,-0.459319117732688,0.705628685230279,-0.101929323903325,-1.73026862698418,-0.371656223077275
"RASL10B",-0.224599720692475,-0.788986871954664,-0.791193665261333,-0.825239004444181,1.47661234103287,-0.69138468540056,1.26873349567301,-0.285448082923328,-0.641485055160266,1.50299124913092
"IL22RA1",-0.793912241537289,-1.19427692715157,0.97892324409636,0.279822361091269,-0.130126669731398,-0.607584750144596,2.18751269473564,-0.348379605832785,-0.707984516700554,0.336006411174921
"IFNG",0.416811224224891,0.796694033420571,-0.987470900391183,-0.179357672835033,-0.80216612265443,1.27047553582328,-0.886964082706634,-0.847782361689387,1.76689197595016,-0.547131629142231
"ABCB5",-0.841279818580372,-0.116061654707599,0.545092580144476,1.51387564373518,-0.661396738222647,-0.631572526761261,-1.05929991263035,-0.619870782061633,1.82905108528417,0.0414621238000329
"LOC101927746",1.04849951557969,-0.64584557296608,1.66030598453886,0.804212696395072,-0.273865464184294,-1.33219465382637,-0.0567485252334038,-0.871160703479505,-1.00706572805771,0.673862451233747
"DEFB1",1.97046460531119,-0.580851148779007,0.584378848289641,0.637278769250054,-0.686013146893864,-0.937252095466,1.05398302914479,-0.373964876349929,-0.977749296096884,-0.69027468840999
"TMEM97",0.227866800748341,-0.647921603948019,0.11162578148368,-0.0581533342427066,1.12651521672587,-1.00595290555564,0.731745506842385,-0.754320489957868,-1.46115412685484,1.7297491547588
"TNFRSF13B",1.20309400451402,2.05363233808844,-0.81703783592976,-0.575840733148489,-0.194634105170023,0.34068321272505,-0.95951304540794,-0.815845236231925,0.415785699100439,-0.650324298539807
"TK1",0.908227347883203,0.0818909560651181,0.993309349036229,0.519164259399039,0.800543560743949,-1.49574989209091,-0.321090295633618,-1.4827796703683,-0.932441299320814,0.928925684286097
"SIDT1",0.0913714696978895,0.903942104261051,-1.48348893928827,-0.93576254300229,-0.608489703535282,0.409018425455222,0.534215247416084,1.72535636589409,0.42218945614415,-1.05835188304264
"FAM132B",-0.178374444982733,-1.15815279753677,1.70458696723054,0.15616650219229,-0.49531345970641,-0.868581082821063,0.266497289385003,-0.336767668633876,-0.78975229750554,1.69969099237856
"PRDM8",0.0242787165587664,1.76060448450879,-1.05933755283082,-0.36348469525343,-0.686213572949397,0.797434272918502,-1.39086657221004,-0.0900275580524469,1.24147774281119,-0.233865265501108
"TRIM72",-0.179639322652351,-0.776288316398896,2.46953951495282,0.611614348231109,0.3412886731009,-0.243825659245629,-0.773302354088978,-0.814893022415556,-0.67301464095391,0.0385207794704832
"ITPKA",-0.490792586026484,-0.718253534640008,-0.708333435145666,-1.06802613990921,0.772905811433994,-0.422393534400074,1.46279602511315,0.170793534293116,-0.755288228886806,1.75659208816799
"NGEF",-1.04053659385548,-1.26446055339971,0.938810426330374,0.46140996125186,-0.180732523491598,-1.02590048162027,1.94002490981531,-0.149185505554228,-0.228100742361341,0.548671102885094
"NIPAL1",1.14958713576344,-0.174209341169688,-0.357915532049817,-0.394918091302859,0.190388128024626,-0.585110322961257,2.28289386290752,-0.728356992336781,-1.07056621691711,-0.311792629958068
"LRP2",1.06413646198943,-0.0822872509262401,1.38423435553419,1.3510572037037,0.0735686167333104,-0.27170952229013,-0.172064485651108,-0.849693929648627,-1.54055417971812,-0.956687269726398
"CIART",0.802859913031103,-0.831667191181237,-0.868234151544036,-1.0794732186783,1.11485278389062,-0.350595130652087,0.326923943118681,-0.465476632038186,-0.578179585764146,1.92898926981759
"CEACAM19",0.70169388424797,-0.562462495767299,-0.147896594162079,-1.12872238105031,1.20523902753853,-0.541090809801645,1.39017402692433,-0.531204022139231,-1.38886658037279,1.00313594458252
"ADAMTS17",1.46490639729664,-0.309736496083325,-0.403294874765939,-1.82729206188357,1.53125373892578,-0.113492585748162,0.525947021680917,-0.560189395012335,-0.515267679933191,0.207165935523191
"EYS",0.209153167905941,-0.458814127476197,-0.818601063263947,-0.912447490165802,2.32564599804331,0.248005071581308,0.877488958375055,-0.647589564579678,-0.76145466702907,-0.061386283390911
"SLC10A5",-0.148223477952808,-0.787906483069988,-0.159700108727247,-0.443496034656608,0.106704398000402,-0.549152929274695,2.55649475737283,0.438387425471713,-1.04555429232285,0.0324467451592578
