"","R-18_Baseline","R-5_Baseline","R-12_Baseline","R-20_Baseline","R-2_Baseline","R-14_Baseline","R-6_Baseline","R-8_Baseline","R-17_Baseline","R-24_Baseline","R-9_Baseline","R-15_Baseline","R-10_Baseline","R-4_Baseline"
"HALLMARK_ALLOGRAFT_REJECTION",-0.518098118379324,-0.296294685423259,-0.472500477222172,-0.416858843865001,0.601462923533307,0.565512411532375,-0.247135241358634,0.198850134869734,-0.181183313993196,-0.300495903078862,-0.041703159808517,-0.5808804727176,-0.593801096963009,-0.192818456422116
"HALLMARK_COMPLEMENT",-0.404416352682101,-0.0810168910591544,-0.171983396638106,-0.215588477901875,0.349749615687514,0.116014849430125,-0.19116398110094,0.0558472693826397,0.178446144901675,-0.0410912187743701,-0.126508078804486,-0.430104352459611,-0.462481163841608,0.074022928916849
"HALLMARK_IL6_JAK_STAT3_SIGNALING",-0.567453798292287,-0.208205221880845,-0.260369970538175,-0.168231445691828,0.497884198719864,0.424444585269487,-0.172427491031539,0.383981061823677,-0.0922767940331843,-0.282289972034952,-0.0157920674253275,-0.610959356288781,-0.564488954110836,-0.032740104579627
"HALLMARK_INFLAMMATORY_RESPONSE",-0.571358480663499,-0.0649917875982064,-0.289546941999563,-0.234802202149999,0.564395137641622,0.261074025920593,-0.187397431419173,0.266400591595381,-0.0400802404706536,-0.349651891848486,-0.0837152138368569,-0.466313881197184,-0.450238397736922,0.147298418774233
"HALLMARK_INTERFERON_ALPHA_RESPONSE",-0.682306367541562,0.198762184718513,-0.255451664200955,0.460384334746472,0.628449105190099,0.158753059970566,-0.505874253804747,0.149931237903794,-0.466902864303338,-0.489725495428276,-0.339269882756289,-0.698010664169155,-0.320122150207197,0.030130628222207
"HALLMARK_INTERFERON_GAMMA_RESPONSE",-0.599788791105735,0.0466969888274479,-0.405360758857986,0.179539294399667,0.637645257384653,0.363603706308361,-0.400325605216287,0.256053775342935,-0.333748265121224,-0.399441344316469,-0.284964953740732,-0.655591944843246,-0.437802638447879,-0.0864415854476282
"HALLMARK_MYOGENESIS",0.136245588021505,0.0713711023851422,-0.197963227580445,-0.235217750469188,-0.195735293760339,-0.421593047707139,0.311834719098384,-0.0792348198778758,-0.0141454703267203,-0.203796593556013,0.0218546814550784,0.188692806432483,0.0101317346101374,0.40481757032282
