"","R-5_C1D1","R-12_C1D1","R-19_C1D1","R-20_C1D1","R-2_C1D1","R-18_C1D1","R-14_C1D1","R-6_C1D1","R-8_C1D1","R-17_C1D1","R-16_C1D1","R-24_C1D1","R-9_C1D1","R-7_C1D1","R-13_C1D1","R-10_C1D1"
"CBX2",0.839211684349191,-0.864872975358826,1.52548924062898,-1.57262970606268,-0.85946336109973,-0.234979050058554,-0.0634035206568406,0.759030704309417,0.74499201981411,0.33384892260736,1.20618513162604,0.255736056245447,1.01257633772389,-0.678239047964464,-1.83929990513923,-0.564182530964113
"LCT",-0.455133104025787,-0.223642412914685,1.56701354093333,-0.977515759984867,-0.501772190310041,-0.138639664200088,-0.193634481903957,0.0181392690442211,1.62752932950549,-0.380626434002936,0.938465688242815,-0.027087344478582,-1.4336054811019,1.93575365600628,-0.927428480622355,-0.827816130186944
"PCDHB10",1.5160889354902,0.449243281584249,0.263338932915543,-0.841595348178823,-0.0841455948302807,1.23050061509897,-0.635266544219467,-0.0449547523443008,1.62086476909254,-0.847759606710403,0.55130179303021,-0.236512709316004,0.371165801102506,0.00524448195693004,-2.13242133147226,-1.18509272319959
"PCDHB9",1.39868806944633,-0.255607180667903,0.338325612043097,-1.20354924917853,0.0388926684900106,1.48499876277566,-0.851878958154752,0.468105664849971,1.27090753213113,-1.21745171059502,0.00542458346792429,0.207615862327339,0.581813449081568,0.344981093264096,-2.0982187983029,-0.513047400978027
"PLXNA3",1.38329927348379,0.313277262280238,1.6510181441566,-1.19672269628011,0.380729035291598,1.15205328487658,-0.310441275686198,0.709794165061336,-0.0370838131527174,-0.952396700451179,-0.368389186032905,-0.454235351568859,0.600179842423044,-0.576534117900424,-2.19188247750572,-0.10266538899509
"LZTS2",0.427855038626333,0.480153604615794,2.29593878140454,-1.24104673232634,-0.951207250931977,-0.305535571767245,-0.296350353477537,-0.146183874936668,1.59041569835038,-0.817801135817101,-0.158855810481117,0.0500543580589161,0.71323580850414,-0.14937791464362,-1.69395104163461,0.202656396456141
